Avera McKennan Hospital,334,MK
Avera St. Luke's,48,SL
Avera Heart Hospital,37,HK
Avera Sacred Heart Hospital,27,SH
Avera Queen of Peace Hospital,23,AQ
Avera Marshall Reg Med Ctr,23,MR
Avera St. Mary's Hospital,17,SY
Floyd Valley Hospital,13,FV
Pipestone County Medical Ctr,10,PI
Avera Hegg Memorial Health Ctr,8,HH
Avera Holy Family Hospital,7,HF
Osceola Community Hospital,7,OC
Avera St.Benedict Health Ctr,6,SB
Platte Health Center Avera,5,PH
Marshall County Healthcare Ctr,5,MB
Avera St. Anthony's Hospital,5,SA
Avera Gregory Hospital,5,GH
Avera Creighton Hospital,4,CE
Wagner Community Memorial Hosp,4,WC
Avera Milbank Area Hospital,4,MA
Avera Milbank Area Hospital,4,MC
Avera De Smet Memorial Hosp,3,DH
Eureka Comm Health Services,3,EC
Sioux Center Community Hosp,3,SX
St. Michael's Hospital,3,SM
Avera Flandreau Hospital,2,FL
Dells Area Hospital   Avera,1,DR
Avera Hand County Memorial,1,HD
Avera McKennan Pharmacy,1,XM
Hendricks Community Hospital,1,HN
Avera Weskota Memorial Med Ctr,1,AW
