City,data,FIPS,Lat,Long,State,Zip
,,,,,,
Aberdeen,101,46013,45.4646985,-98.4864829,SD,57402
,,,,,,
Alcester,13,46127,43.0213783,-96.6308708,SD,57001
,,,,,,
Alexandria,2,46061,43.653592,-97.7828482,SD,57311
,,,,,,
Alpena,1,46073,44.1813767,-98.365646,SD,57312
,,,,,,
Andover,1,46037,45.4102319,-97.9025974,SD,57422
,,,,,,
Arlington,16,46077,44.3644133,-97.1331212,SD,57212
,,,,,,
Armour,1,46043,43.3186012,-98.3467455,SD,57313
,,,,,,
Artesian,3,46111,44.0091465,-97.9209135,SD,57314
,,,,,,
Ashton,6,46115,44.9949746,-98.4978718,SD,57424
,,,,,,
Astoria,1,46039,44.5582971,-96.547273,SD,57213
,,,,,,
Aurora,7,46011,44.2841348,-96.685606,SD,57002
,,,,,,
Avon,3,46009,43.0049954,-98.0597954,SD,57315
,,,,,,
Badger,1,46077,44.4852447,-97.2047916,SD,57214
,,,,,,
Baltic,2,46099,43.7613629,-96.7403289,SD,57003
,,,,,,
Bath,1,46013,45.4683025,-98.3237067,SD,57427
,,,,,,
Belle Fourche,22,46019,44.6713733,-103.852148,SD,57717
,,,,,,
Belvidere,2,46071,43.8319373,-101.271531,SD,57521
,,,,,,
Beresford,9,46127,43.0805446,-96.773655,SD,57004
,,,,,,
Big Stone City,9,46051,45.2916316,-96.4628344,SD,57216
,,,,,,
Bison,9,46105,45.5202647,-102.4612708,SD,57620
,,,,,,
Black Hawk,18,46093,44.16844,-103.33038,SD,57718
,,,,,,
Blunt,3,46065,44.5122043,-99.9920665,SD,57522
,,,,,,
Bonesteel,5,46053,43.0763861,-98.9445349,SD,57317
,,,,,,
Bowdle,9,46045,45.4530375,-99.6540068,SD,57428
,,,,,,
Box Elder,35,46103,44.1124877,-103.0682323,SD,57719
,,,,,,
Bradley,4,46025,45.0905157,-97.6436969,SD,57217
,,,,,,
Brandon,46,46099,43.5946963,-96.5719896,SD,57005
,,,,,,
Bridgewater,4,46087,43.5516489,-97.507566,SD,57319
,,,,,,
Bristol,9,46037,45.3446765,-97.7484272,SD,57219
,,,,,,
Britton,2,46091,45.7916192,-97.7509366,SD,57430
,,,,,,
Brookings,94,46011,44.3113573,-96.7983877,SD,57007
,,,,,,
Browns Valley,1,27155,45.61779, -96.75168,MN,56219
,,,,,,
Bruce,2,46011,44.4380228,-96.8900589,SD,57220
,,,,,,
Buffalo Gap,5,46033,43.4916502,-103.312975,SD,57722
,,,,,,
Buffalo,6,46063,45.5841637,-103.5460251,SD,57720
,,,,,,
Burbank,7,46027,42.745276,-96.8292077,SD,57010
,,,,,,
Burke,4,46053,43.1824998,-99.2920453,SD,57523
,,,,,,
Butler,1,46037,45.2588447,-97.7123132,SD,57219
,,,,,,
Canistota,11,46087,43.5977584,-97.2906172,SD,57012
,,,,,,
Canova,2,46097,43.8810873,-97.5045121,SD,57321
,,,,,,
Canton,18,46083,43.3008146,-96.5928198,SD,57013
,,,,,,
Carpenter,1,46025,44.6374734,-97.9167552,SD,57322
,,,,,,
Carter,1,46123,43.3872233,-100.202629,SD,57580
,,,,,,
Castlewood,17,46057,44.7227424,-97.0300678,SD,57223
,,,,,,
Cavour,3,46005,44.36998,-98.0378656,SD,57324
,,,,,,
Centerville,4,46125,43.1194328,-96.961437,SD,57014
,,,,,,
Central City,3,46081,44.3658176,-103.772421,SD,57754
,,,,,,
Chamberlain,10,46015,43.810828,-99.3306556,SD,57326
,,,,,,
Chester,1,46079,43.8949736,-96.926445,SD,57016
,,,,,,
Claire City,1,46109,45.8571812,-97.1036974,SD,57224
,,,,,,
Clark,24,46025,44.877743,-97.7331411,SD,57225
,,,,,,
Clear Lake,8,46039,44.7457977,-96.6825584,SD,57226
,,,,,,
Colman,8,46101,43.9824719,-96.8144974,SD,57017
,,,,,,
Colome,1,46123,43.2605567,-99.7151134,SD,57528
,,,,,,
Colton,10,46099,43.7860862,-96.9275557,SD,57018
,,,,,,
Conde,1,46115,45.1571854,-98.0975923,SD,57434
,,,,,,
Corona,3,46109,45.3338521,-96.7631231,SD,57227
,,,,,,
Corsica,4,46043,43.4252676,-98.4073023,SD,57328
,,,,,,
