CPT,Description,Provider,ProviderName,Radius,LocationID,LocationName,
86580,SKIN TEST TUBERCULOSIS  INTRADERMAL,ZUE.JI,Zuehlke Jill CNP,1,MB.CL,MARSHALL COUNTY MEDICAL CLINIC,
36415,VENIPUNCTURE,ZUE.JI,Zuehlke Jill CNP,1,MB.CL,MARSHALL COUNTY MEDICAL CLINIC,
95115,ALLERGY INJECTION SINGLE,ZUE.JI,Zuehlke Jill CNP,2,MB.CL,MARSHALL COUNTY MEDICAL CLINIC,
99213,EST OFFICE VISIT EXP PROBLEM FOCUSED,ZUE.JI,Zuehlke Jill CNP,8,MB.CL,MARSHALL COUNTY MEDICAL CLINIC,
99384,NEW ROUTINE EXAM 12-17 YEARS OLD,ZUE.JI,Zuehlke Jill CNP,1,MB.CL,MARSHALL COUNTY MEDICAL CLINIC,
99211,EST OFFICE VISIT  MINIMAL,ZUE.JI,Zuehlke Jill CNP,5,MB.CL,MARSHALL COUNTY MEDICAL CLINIC,
95117,ALLERGY INJECTIONS 2 OR MORE,ZUE.JI,Zuehlke Jill CNP,1,MB.CL,MARSHALL COUNTY MEDICAL CLINIC,
36415,VENIPUNCTURE,WIT.TR,Witt Travis J,1,SF.CL,AVERA MEDICAL GROUP SPENCER,
84443,THYROID STIMULATING HORMONE  (TSH),WIT.TR,Witt Travis J,1,SF.CL,AVERA MEDICAL GROUP SPENCER,
85610,PROTHROMBIN TIME,WIN.MA01,Winkelbauer Matthew MD,3,OF.CL,AVERA MEDICAL GROUP ONEILL,
99211,EST OFFICE VISIT  MINIMAL,WIN.MA01,Winkelbauer Matthew MD,5,OF.CL,AVERA MEDICAL GROUP ONEILL,
36415,VENIPUNCTURE,WIN.MA01,Winkelbauer Matthew MD,2,OF.CL,AVERA MEDICAL GROUP ONEILL,
99214,EST OFFICE VISIT DETAILED,WIL.KI02,Williams Kirsten,1,MO.CL,AVERA MEDICAL ONC & HEMATOLOGY,
36416,FINGER STICK,WEN.RO,Wenger Robert S,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
99211,EST OFFICE VISIT  MINIMAL,WEN.RO,Wenger Robert S,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
85610-QW,PROTHROMBIN TIME,WEN.RO,Wenger Robert S,1,MGCLMA,AVERA MEDICAL GROUP MCGREEVY 7,
99211,LEVEL 1 EST PT,VAN.GE,Van Es Gerald L,2,SI1.CL,SIOUX CENTER MEDICAL CLINIC,
90714,Td VACCINE,VAN.GE,Van Es Gerald L,1,SI1.CL,SIOUX CENTER MEDICAL CLINIC,
90471,IMMUNIZATION ADMIN,VAN.GE,Van Es Gerald L,1,SI1.CL,SIOUX CENTER MEDICAL CLINIC,
85610-QW,PROTIME WAIVED,VAN.GE,Van Es Gerald L,2,SI1.CL,SIOUX CENTER MEDICAL CLINIC,
99211,EST OFFICE VISIT  MINIMAL,TUC.RO,Tucker Ross M MD,2,WS.CL,AVERA MEDICAL GROUP WORTHINGTO,
36416,FINGER STICK,TUC.RO,Tucker Ross M MD,2,WS.CL,AVERA MEDICAL GROUP WORTHINGTO,
85610-QW,PROTHROMBIN TIME,TUC.RO,Tucker Ross M MD,2,WS.CL,AVERA MEDICAL GROUP WORTHINGTO,
